Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,Product,Category,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Method
ORD00001,2025-09-25,CUST0630,Customer_531,North,Delhi,Notebook,Stationery,10,713.91,5,6782.14,773.75,Net Banking
ORD00002,2025-05-23,CUST0610,Customer_887,West,Maharashtra,Printer,Electronics,10,659.63,15,5606.85,1372.44,UPI
ORD00003,2025-09-04,CUST1376,Customer_1085,North,Delhi,Notebook,Stationery,1,1947.02,5,1849.67,352.35,Cash
ORD00004,2025-07-02,CUST0412,Customer_375,North,Delhi,Phone,Electronics,7,1431.75,15,8518.91,1208.94,UPI
ORD00005,2025-03-26,CUST0779,Customer_1183,West,Maharashtra,Laptop,Electronics,1,405.91,20,324.73,28.04,UPI
ORD00006,2025-02-15,CUST0583,Customer_1291,East,West Bengal,Chair,Furniture,6,1061.3,20,5094.24,323.63,UPI
ORD00007,2025-08-19,CUST0903,Customer_366,East,West Bengal,Desk,Furniture,5,1432.83,0,7164.15,1842,Cash
ORD00008,2025-10-12,CUST0806,Customer_461,East,West Bengal,Phone,Electronics,4,1371.29,15,4662.39,568.46,Cash
ORD00009,2025-12-09,CUST0228,Customer_843,South,Tamil Nadu,Desk,Furniture,8,682.04,0,5456.32,1417.89,Cash
ORD00010,2025-03-08,CUST0675,Customer_1318,North,Delhi,Desk,Furniture,3,1612.06,10,4352.56,1100.81,Cash
ORD00011,2025-09-22,CUST1389,Customer_1055,North,Delhi,Phone,Electronics,8,1298.76,5,9870.58,909.12,Net Banking
ORD00012,2025-07-12,CUST0529,Customer_412,West,Maharashtra,Notebook,Stationery,9,857.18,10,6943.16,1631.04,UPI
ORD00013,2025-03-08,CUST1174,Customer_686,East,West Bengal,Printer,Electronics,10,1469.72,20,11757.76,2640.46,Net Banking
ORD00014,2025-10-05,CUST0294,Customer_627,North,Delhi,Notebook,Stationery,8,414.98,15,2821.86,661.66,Net Banking
ORD00015,2025-10-26,CUST0153,Customer_1301,North,Delhi,Laptop,Electronics,1,717.83,10,646.05,84.48,Card
ORD00016,2025-04-19,CUST1248,Customer_1092,South,Tamil Nadu,Laptop,Electronics,3,1648.01,20,3955.22,236.6,UPI
ORD00017,2025-09-21,CUST0492,Customer_1004,East,West Bengal,Laptop,Electronics,5,699.78,0,3498.9,333.62,Cash
ORD00018,2025-07-21,CUST0362,Customer_238,North,Delhi,Printer,Electronics,5,754.6,0,3773,921.31,Cash
